Period;Value (in millions)
Jan-1992;10?306
Feb-1992;11?251
Mar-1992;12?917
Apr-1992;13?461
May-1992;14?286
Jun-1992;13?354
Jul-1992;13?101
Aug-1992;14?783
Sep-1992;13?323
Oct-1992;14?961
Nov-1992;18?128
Dec-1992;27?218
Jan-1993;11?164
Feb-1993;11?300
Mar-1993;13?411
Apr-1993;14?245
May-1993;15?110
Jun-1993;14?345
Jul-1993;14?348
Aug-1993;15?461
Sep-1993;14?478
Oct-1993;15?971
Nov-1993;19?064
Dec-1993;28?788
Jan-1994;11?666
Feb-1994;12?160
Mar-1994;15?196
Apr-1994;14?901
May-1994;15?504
Jun-1994;15?622
Jul-1994;15?036
Aug-1994;16?426
Sep-1994;15?248
Oct-1994;16?680
Nov-1994;20?226
Dec-1994;30?280
Jan-1995;12?260
Feb-1995;12?603
Mar-1995;15?448
Apr-1995;15?729
May-1995;16?337
Jun-1995;16?399
Jul-1995;15?922
Aug-1995;17?050
Sep-1995;15?981
Oct-1995;16?574
Nov-1995;21?138
Dec-1995;30?479
Jan-1996;12?299
Feb-1996;13?768
Mar-1996;15?808
Apr-1996;15?957
May-1996;17?454
Jun-1996;16?655
Jul-1996;15?768
Aug-1996;17?932
Sep-1996;16?092
Oct-1996;17?462
Nov-1996;21?389
Dec-1996;31?619
Jan-1997;13?463
Feb-1997;14?077
Mar-1997;17?084
Apr-1997;16?180
May-1997;18?118
Jun-1997;17?259
Jul-1997;16?673
Aug-1997;18?633
Sep-1997;16?229
Oct-1997;18?259
Nov-1997;22?114
Dec-1997;32?019
Jan-1998;13?887
Feb-1998;14?640
Mar-1998;16?616
Apr-1998;17?544
May-1998;18?581
Jun-1998;17?234
Jul-1998;16?908
Aug-1998;18?362
Sep-1998;16?467
Oct-1998;18?211
Nov-1998;22?164
Dec-1998;32?676
Jan-1999;14?480
Feb-1999;15?239
Mar-1999;17?851
Apr-1999;17?704
May-1999;18?935
Jun-1999;17?955
Jul-1999;17?549
Aug-1999;18?510
Sep-1999;17?383
Oct-1999;18?513
Nov-1999;22?213
Dec-1999;33?972
Jan-2000;14?728
Feb-2000;15?413
Mar-2000;17?867
Apr-2000;18?184
May-2000;18?976
Jun-2000;18?156
Jul-2000;17?353
Aug-2000;18?742
Sep-2000;17?269
Oct-2000;18?016
Nov-2000;23?454
Dec-2000;34?317
Jan-2001;15?153
Feb-2001;15?220
Mar-2001;17?229
Apr-2001;17?969
May-2001;18?535
Jun-2001;17?841
Jul-2001;17?025
Aug-2001;19?083
Sep-2001;16?676
Oct-2001;17?800
Nov-2001;22?954
Dec-2001;32?892
Jan-2002;14?536
Feb-2002;15?102
Mar-2002;17?916
Apr-2002;17?156
May-2002;18?339
Jun-2002;17?449
Jul-2002;16?449
Aug-2002;18?307
Sep-2002;15?831
Oct-2002;17?523
Nov-2002;21?076
Dec-2002;31?059
Jan-2003;13?970
Feb-2003;14?357
Mar-2003;16?371
Apr-2003;16?375
May-2003;17?570
Jun-2003;16?639
Jul-2003;16?385
Aug-2003;18?182
Sep-2003;15?669
Oct-2003;17?319
Nov-2003;20?818
Dec-2003;30?815
Jan-2004;14?053
Feb-2004;15?157
Mar-2004;16?440
Apr-2004;16?697
May-2004;17?467
Jun-2004;16?282
Jul-2004;16?454
Aug-2004;17?203
Sep-2004;15?985
Oct-2004;17?446
Nov-2004;20?724
Dec-2004;31?783
Jan-2005;14?218
Feb-2005;14?943
Mar-2005;16?601
Apr-2005;16?666
May-2005;16?947
Jun-2005;17?150
Jul-2005;16?323
Aug-2005;17?199
Sep-2005;15?506
Oct-2005;17?456
Nov-2005;21?171
Dec-2005;31?086
Jan-2006;14?033
Feb-2006;14?800
Mar-2006;16?490
Apr-2006;16?811
May-2006;17?005
Jun-2006;16?706
Jul-2006;16?025
Aug-2006;16?997
Sep-2006;15?781
Oct-2006;16?675
Nov-2006;21?167
Dec-2006;30?665
Jan-2007;14?119
Feb-2007;14?441
Mar-2007;16?534
Apr-2007;16?091
May-2007;16?924
Jun-2007;16?307
Jul-2007;15?653
Aug-2007;17?283
Sep-2007;15?254
Oct-2007;16?354
Nov-2007;20?878
Dec-2007;29?554
Jan-2008;13?214
Feb-2008;14?291
Mar-2008;15?765
Apr-2008;14?947
May-2008;16?640
Jun-2008;15?883
Jul-2008;15?142
Aug-2008;16?425
Sep-2008;13?868
Oct-2008;15?392
Nov-2008;19?420
Dec-2008;27?249
Jan-2009;12?651
Feb-2009;12?869
Mar-2009;14?057
Apr-2009;14?575
May-2009;15?379
Jun-2009;14?202
Jul-2009;14?171
Aug-2009;15?338
Sep-2009;13?506
Oct-2009;14?973
Nov-2009;18?277
Dec-2009;26?585
Jan-2010;12?297
Feb-2010;12?819
Mar-2010;14?632
Apr-2010;14?184
May-2010;14?922
Jun-2010;14?273
Jul-2010;13?955
Aug-2010;14?709
Sep-2010;13?520
Oct-2010;14?387
Nov-2010;18?415
Dec-2010;26?642
Jan-2011;11?895
Feb-2011;12?857
Mar-2011;14?178
Apr-2011;14?513
May-2011;14?485
Jun-2011;14?719
Jul-2011;13?901
Aug-2011;14?675
Sep-2011;13?597
Oct-2011;14?263
Nov-2011;18?035
Dec-2011;26?243
Jan-2012;11?428
Feb-2012;13?165
Mar-2012;14?445
Apr-2012;13?576
May-2012;14?108
Jun-2012;13?908
Jul-2012;13?145
Aug-2012;14?710
Sep-2012;13?124
Oct-2012;13?485
Nov-2012;17?615
Dec-2012;24?604
Jan-2013;11?313
